PORT CODE,DATE,IEC,HS CODE,GOODS DESCRIPTION,Master category,Model Name,Model Number,Capacity,Qty,Unit of measure,Price,Unit of measure2,QUANTITY,UNIT,UNIT PRICE_INR,TOTAL VALUE_INR,UNIT PRICE_USD,TOTAL VALUE_USD,DUTY PAID_INR,Grand Total_INR,Year,Main Category,Sub Category
INNSA1,2021-02-20,0301049751,73239990,STEEL SALT BOTTLE - NP-19 (QTY- 12000 PCS/USD 0.4980 PER PCS),,SALT BOTTLE - NP-19,STEEL,,#VALUE!,PCS,0.4980,PCS,1875,KGS ,257.524864,482859.12,3.494231533,6551.684125,176919.6,261.0190955,2021,Household Steel Items,Other
INNSA1,2021-02-20,0301049751,73239990,STEEL ZHARA - NP-003 (TOTAL:86760 PCS/USD 0.4563 PER PCS),,ZHARA - NP-003,TOTAL:86760 PCS/USD 0.4563 PER PCS,,,#VALUE!,0.4563,#VALUE!,8097.6,KGS ,395.0240899,3198747.07,5.359892671,43402.26689,1172020.9,400.3839825,2021,Household Steel Items,Other
INNSA1,2021-02-20,0301049751,73239990,STEEL TEA STRAINER BIG - SB-12 (TOTAL:15600 PCS/USD 1.2070 PER PCS),,TEA STRAINER BIG - SB-12,TOTAL:15600 PCS/USD 1.2070 PER PCS,,,#VALUE!,1.2070,#VALUE!,3705,KGS ,410.6326559,1521393.99,5.571677827,20643.06635,557438.8,416.2043337,2021,Household Steel Items,Tea Strainer
INNSA1,2021-02-17,0301049751,73239990,STEEL TEA STRAINER NP-55 (QTY:60120 PCS USD .3239 PER PCS),,TEA STRAINER NP-55,STEEL,60120,#N/A,#N/A,.3239,#N/A,2755.5,KGS ,585.7636255,1614071.67,7.937176497,21870.88984,591395.8,593.700802,2021,Household Steel Items,Tea Strainer
INNSA1,2021-02-17,0301049751,73239990,STEEL ZHARA NP-003 (QTY:18000 PCS USD 0.4563 PER PCS),,ZHARA NP-003,STEEL,18000,#N/A,#N/A,0.4563,#N/A,1680,KGS ,405.2346488,680794.21,5.490984401,9224.853794,249443,410.7256332,2021,Household Steel Items,Other
INNSA1,2021-02-17,0301049751,73239990,STEEL SALT BOTTLE - NP-19 (QTY- 24096 PCS/USD 0.4984 PER PCS),,SALT BOTTLE - NP-19,STEEL,,#VALUE!,PCS,0.4984,PCS,3765,KGS ,264.3936282,995442.01,3.582569487,13488.37412,364729.9,267.9761976,2021,Household Steel Items,Other
INNSA1,2021-02-17,0301049751,73239990,STEEL HAND BLENDER RS-02 (QTY:50000 PCS USD 0.4548 PER PCS),,HAND BLENDER RS-02,STEEL,50000,#N/A,#N/A,0.4548,#N/A,3000,KGS ,628.2927433,1884878.23,8.513451807,25540.35542,690619.4,636.8061951,2021,Household Steel Items,Other
INNSA1,2021-02-16,0301049751,73239990,STAINLESS STEEL SPORTS BOTTLE 650ML S115 - NP-21 (QTY-54612 PCS/USD 1.070 PER PCS),,STEEL SPORTS BOTTLE 650ML S115 - NP-21,STAINLESS,,-54612,PCS,1.070,PCS,9708.8,KGS ,477.8968256,4639804.7,6.475566742,62869.98238,1700024.4,484.3723923,2021,Household Steel Items,Other
INNSA1,2021-02-16,0301049751,73231000,STEEL SCRUBBER 6 PCS SET - OKS-4156 (QTY- 98000 PCS/USD 0.256 PER PCS),,SCRUBBER 6 PCS SET - OKS-4156,STEEL,,#VALUE!,PCS,0.256,PCS,8537.8,KGS ,237.2931985,2025961.87,3.215354993,27452.05786,890612.8,240.5085535,2021,Steel Scrubbers,Scrubber
INNSA1,2021-02-16,0301049751,73239990,STAINLESS STEEL SPORTS BOTTLE 750ML S-308-C6 - NP-20 (QTY-19296 PCS/USD 1.022 PER PCS),,STEEL SPORTS BOTTLE 750ML S-308-C6 - NP-20,STAINLESS,,-19296,PCS,1.022,PCS,3430.4,KGS ,456.4584626,1565835.11,6.185074019,21217.27791,573722,462.6435366,2021,Household Steel Items,Other
